'actor0', 'A0', 'Verb', 'A1', 'A2', 'Polarity', 'Sentence', 'actor1', 'File Name', 'Date'
'Japan', 'the Japanese', 'conduct.01', 'door negotiations with Taiwan', '', 'Affirmative', 'Before such a scenario evolves , Japan should conduct back - door negotiations with Taiwan to the effect that Japan would not contest the ruling , as long as both countries coordinate , develop and share the undersea energy resources without militarizing the islands themselves . ', 'Taiwan', 'newsText15222', 2014\05\19
'Niger', 'Nigerian nationals in various fields', 'see.01', 'Nigeria', 'as having', 'Affirmative', 'Some Nigerians do not care about the national identity , but we see Nigeria as having the potential to develop if the people put in more effort and patriotism and government evolves proper policies . ', 'Nigeria', 'newsText14960', 2014\05\19
'Nigeria', 'Nigerian nationals in various fields', 'see.01', 'Nigeria', 'as having', 'Affirmative', 'Some Nigerians do not care about the national identity , but we see Nigeria as having the potential to develop if the people put in more effort and patriotism and government evolves proper policies . ', 'Nigeria', 'newsText14960', 2014\05\19
'Philippines', 'The Philippines , said Garcia', 'have.03', 'a stormy exchange with China', '', 'Affirmative', 'In contrast to the comity that marked the work of Manila and Jakarta on their overlapping EEZs , the Philippines has had a stormy exchange with China in the West Philippine Sea , as the Asian economic giant insists on asserting historical sovereignty over virtually the entire South China Sea - creating conflict with Manila and four other claimants . ', 'China', 'newsText14837', 2014\05\19
'Russia', 'A top Russian communications regulator', 'diss.01', "Twitter and Facebook ; Cisco 's CEO pleads with President Obama", '', 'Affirmative', "A top Russian communications regulator dissed Twitter and Facebook , declaring that the country does n't see significant risks in blocking the sites . ", 'United States', 'newsText15004', 2014\05\19
'Russia', 'President Vladimir Putin', 'tell.01', "interests are tied to Russia's", 'Tatar leaders', 'Affirmative', "Russian President Vladimir Putin told Crimean Tatar leaders on Friday that their interests are tied to Russia's . ", 'Russia', 'newsText14881', 2014\05\19
'Russia', "Russia 's", 'have.03', 'clear interests in Egypt', '', 'Affirmative', 'Russia has clear interests in Egypt that go well beyond tweaking the White House and some of them , like anti-terrorism cooperation targeting Islamist radicals , are much easier to pursue with Sisi than his immediate predecessor . ', 'Egypt', 'newsText15225', 2014\05\19
'Russia', 'Russia , a threat', 'annex.01', 'the peninsula from Ukraine', '', 'Affirmative', 'Russia annexed the peninsula from Ukraine in March . ', 'Ukraine', 'newsText14881', 2014\05\19
'Russia', '`` Russia', 'have.03', 'NATO', '', 'Affirmative', 'It is quite natural that Russia does not want to have NATO at its door , and a US naval base deployed in Odessa . ', 'NATO', 'newsText14824', 2014\05\19
'Russia', '`` Russia', 'want.01', 'to have NATO at', '', 'Affirmative', 'It is quite natural that Russia does not want to have NATO at its door , and a US naval base deployed in Odessa . ', 'NATO', 'newsText14824', 2014\05\19
'Syria', 'terrorist groups operating in Syria', 'pose.02', 'threats to France and Europe', '', 'Affirmative', "Speaking in a meeting with Iranian Deputy Foreign Minister for Arab and African Affairs Hossein Amir Abdollahian in Tehran on Saturday , French Foreign Ministry 's Director for North Africa and Middle - East affairs Jean - Fran\xc3\xa7ois Girault said Tehran and Paris should continue consultations over Syria and other Middle - Eastern countries , adding that terrorist groups operating in Syria pose threats to France and Europe . ", 'France', 'newsText14807', 2014\05\19
'Taiwan', 'Ong , who helped the state of Gujarat , governed by Modi since 2001 , solicit investment from Taiwan-based China Steel Corp.', 'cite.01', 'frequent visits to Taiwan', '', 'Affirmative', "Ong asked , citing frequent visits to Taiwan by officials from India 's Ministry of Commerce and Industry and Ministry of Communications and Information Technology . ", 'Taiwan', 'newsText15213', 2014\05\19
'Taiwan', "Taiwan 's", 'forget.01', 'that Japan needs', '', 'Affirmative', "Let 's not forget that Japan needs locally derived energy now . ", 'Japan', 'newsText15222', 2014\05\19
'Ukraine', 'minute video calling for jihad in Ukraine', 'call.03', 'for jihad in Ukraine', '', 'Affirmative', 'The full report on the 23 minute video calling for jihad in Ukraine can be found at the Long War Journal at this link . ', 'Ukraine', 'newsText14881', 2014\05\19
'United Kingdom', "Britain 's", 'leave.01', 'the European Union', '', 'Affirmative', 'The party , which wants Britain to leave the European Union and stricter border controls , has ridden a wave of dissatisfaction about what many Britons perceive to be excessive immigration levels to surge in the opinion polls . ', 'European Union', 'newsText15001', 2014\05\19
'United States', "Former Boston Police Commissioner Kathleen O'Toole", 'join.01', 'Boston Police', '', 'Affirmative', "O'Toole , 59 , joined Boston Police as a patrol officer in 1979 and worked her way up through the ranks . ", 'United States', 'newsText15043', 2014\05\19
'United States', "The Bush administration 's holy warriors at USAID", 'overthrow.01', 'the Cuban government', '', 'Affirmative', "The Bush administration 's holy warriors at USAID , however , had aspirations far beyond the temple doors they aimed to overthrow the Cuban government . ", 'Cuba', 'newsText15181', 2014\05\19
'United States', 'The U.S. and', 'criticize.01', 'the Egyptian judicial system for imposing', '', 'Affirmative', 'The U.S. and United Nations have criticized the Egyptian judicial system for imposing mass sentences against Muslim Brotherhood members and supporters . ', 'Egypt', 'newsText14800', 2014\05\19
'United States', 'U.S. customers', 'travel.01', 'to Switzerland', '', 'Affirmative', 'The report said Credit Suisse sent Swiss bankers to recruit American clients at golf tournaments and other events , encouraged U.S. customers to travel to Switzerland and actively helped them hide their assets . ', 'Switzerland', 'newsText15249', 2014\05\19
'United States', 'USAID', 'implement.01', 'another covert operation in Cuba', '', 'Affirmative', "Worse still , as we just learned this April , even after Gross ' arrest , USAID implemented another covert operation in Cuba : ZunZuneo , or Cuban Twitter . ", 'Cuba', 'newsText15181', 2014\05\19
'United States', "USAID 's", 'do.02', 'regular humanitarian work in Cuba', '', 'Affirmative', 'Washington maintains that USAID does regular humanitarian work in Cuba . ', 'Cuba', 'newsText15181', 2014\05\19
'United States', 'a ramp linking U.S. 60', 'link.01', 'U.S. 60', '', 'Affirmative', ", police Officer Brandon Mendoza , 32 , was killed in the early morning of May 12 , when 42 - year - old Raul Silva - Corona slammed into Mendoza 's vehicle on a ramp linking U.S. 60 to Interstate 10 as he was heading to his Phoenix home after finishing a patrol shift , police said . ", 'United States', 'newsText15066', 2014\05\19
'Uruguay', 'Uruguayan president Jose Mujica', 'hope.01', 'gesture will lead Obama', '', 'Affirmative', 'Mujica said that he hopes the gesture will lead Obama to think about the potential benefit for U.S . ', 'United States', 'newsText15181', 2014\05\19
'Vietnam', 'Many Vietnamese', 'help.01', 'the U.S. military', '', 'Affirmative', 'Many Vietnamese who were granted visas had risked their lives to help the U.S. military during the conflict . ', 'United States', 'newsText15090', 2014\05\19
'Yemen', 'tourists traveling in Yemen', 'travel.01', 'in Yemen', '', 'Affirmative', 'Two American women testified during the trial they were among a group of tourists traveling in Yemen when their convoy was overtaken by a group of men armed with rifles and rocket - propelled grenades on a highway outside Aden . ', 'Yemen', 'newsText15131', 2014\05\19
