'actor0', 'A0', 'Verb', 'A1', 'A2', 'Polarity', 'Sentence', 'actor1', 'File Name', 'Date'
'Russia', 'Russian expert Bill Browder in an interview', 'visit.01', 'Canada', '', 'Affirmative', 'He visited Canada this month to convince Ottawa to adopt a version of the Magnitsky Law passed in 2012 that he proposed . ', 'Canada', 'newsText2983', 2014\05\19
'Switzerland', "Alessandro Pelizzari of the Unia union 's Geneva chapter", 'tell.01', 'before seen in Switzerland', 'AFP', 'Affirmative', 'We have never before seen in Switzerland so many companies raising employee salaries to 4,000 Swiss francs as over the past months , he told AFP , listing the Aldi and Lidle supermarket chains , as well as fashion giants H&M and Bata . ', 'Switzerland', 'newsText3021', 2014\05\19
'Switzerland', 'Saab AB fell the most in ten months after Swiss voters rejected a 3.1 billion-franc -LRB- $ 3.5 billion -RRB- order for its Gripen fighter jets in a referendum', 'respect.01', 'the process in Switzerland', '', 'Affirmative', 'Saab said it respects the process in Switzerland and that the result in the referendum means that the Swiss procurement process of 22 planes stops , according to a statement yesterday . ', 'Switzerland', 'newsText3023', 2014\05\19
'Switzerland', "the Swiss bank , one of the world 's largest wealth managers", 'shield.01', "the Swiss bank , one of the world 's largest wealth managers", '', 'Affirmative', 'The bank went to elaborate lengths to shield itself , its employees , and the tax cheats that it served from accountability . ', 'Switzerland', 'newsText2731', 2014\05\19
'Turkey', 'Turkish officials', 'investigate.01', "Turkey 's worst mining disaster", '', 'Affirmative', 'Other company executives were among the detained as Turkish officials investigate the mining disaster . ', 'Turkey', 'newsText2893', 2014\05\19
'Turkey', 'pipeline project ( TANAP ) connecting Turkey and Greece', 'connect.01', 'Turkey and Greece', '', 'Affirmative', "Australia 's WorleyParsons has won a contract for the $ 11.7 billion Trans Anatolian natural gas pipeline project ( TANAP ) connecting Turkey and Greece . ", 'Turkey', 'newsText2543', 2014\05\19
'Uganda', 'Uganda', 'organise.01', 'Uganda', '', 'Affirmative', 'One has to wonder why Uganda can not organise itself and capture some of these markets . ', 'Uganda', 'newsText2695', 2014\05\19
'Ukraine', 'Ukraine', 'surrender.01', 'weapons stockpile to Russia', '', 'Affirmative', "Between 1994 and 1996 , Ukraine surrendered the world 's third largest nuclear weapons stockpile to Russia for dismantling in return for promises of territorial protection made by the U.S. , Russia , Britain , France and China . ", 'Russia', 'newsText2983', 2014\05\19
'Ukraine', 'tougher measures by Ukraine', 'bring.01', "President Vladimir Putin -LRB- describes him as a `` flawless democrat '' -RRB-", '', 'Affirmative', "That 's why tougher measures by Ukraine , and the uncovering of the massive money trail , could eventually bring Putin down . ", 'Russia', 'newsText2983', 2014\05\19
'United Kingdom', 'all British supermarkets', 'sell.01', 'Zimbabwean produce', '', 'Affirmative', "Ugandans should wake up and smell the coffee , before Mugabe went senile all British supermarkets were selling Zimbabwean produce while Kenya is aggressively increasing it 's exports by working hard on quality control and these things work because we can see Kenyan produce in big markets here . ", 'Zimbabwe', 'newsText2695', 2014\05\19
'United Kingdom', 'the UK Independence Party ( Ukip ) ,', 'get.01', 'derisory vote in Scotland', '', 'Affirmative', "According to the most recent opinion polls , the UK Independence Party ( Ukip ) , the party that most obviously wants to get Britain out of the EU , will get a fairly derisory vote in Scotland at this week 's European parliamentary elections . ", 'Scotland', 'newsText2775', 2014\05\19
'United States', 'American officials', 'acknowledge.01', 'the pressing energy needs of China ,', '', 'Affirmative', "Washington has appealed to Beijing to avoid making business deals with Russia , though American officials acknowledge the pressing energy needs of China , the world 's second - largest economy . ", 'China', 'newsText2601', 2014\05\19
'United States', 'Cyndee Weston , executive director of the American Medical Billing Association , an industry trade group', 'talk.01', 'Cyndee Weston , executive director of the American Medical Billing Association , an industry trade group', 'into it', 'Affirmative', "I was trying to talk myself into it , but I just ca n't see it . ", 'United States', 'newsText2724', 2014\05\19
'United States', 'David Whiston , a senior equity analyst with Chicago-based investment research firm Morningstar Inc', 'say.01', 'China has been', '', 'Affirmative', 'For several years China has been the largest single - nation auto market in the world , and this new company is going to have a 25 - percent share of the interiors market in China , Whiston said . ', 'China', 'newsText2738', 2014\05\19
'United States', "President Barack Obama 's", 'save.01', 'million Estonians', '', 'Affirmative', 'Is President Obama going to send in troops to save 1.3 million Estonians ? ', 'Estonia', 'newsText2983', 2014\05\19
'United States', 'U.S. Secretary of Agriculture Tom Vilsack', 'withdraw.01', "the USDA 's proposal to relax restrictions on imports of animal products from Brazil", '', 'Affirmative', "The National Farmers Union ( NFU ) , along with the United States Cattlemen 's Association ( USCA ) , sent a letter to U.S. Secretary of Agriculture Tom Vilsack requesting he withdraw the proposal . ", 'Brazil', 'newsText2469', 2014\05\19
'Uzbekistan', 'traded Carlsberg Uzbekistan ,', 'see.01', 'its Uzbek downfall', '', 'Affirmative', 'Publicly traded Carlsberg Uzbekistan , a major beer producer , saw its Uzbek downfall in 2012 after having invested more than 100 million USD into its Uzbek production facilities . ', 'Uzbekistan', 'newsText2862', 2014\05\19
'Vietnam', 'Hanoi', 'demand.01', 'that China remove', '', 'Affirmative', 'Hanoi has demanded that China remove the offending rig from the disputed waters , escort vessels from the region and hold talks to settle the issue . ', 'China', 'newsText2477', 2014\05\19
